Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,Unnamed: 26
80NSSC24PB679,,P00001,0,PO Purchase Order,$0.00,"Mar 6, 2025","Jun 14, 2024",8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,813920.0,PROFESSIONAL ORGANIZATIONS,STAMFORD,CT,069027747,NONE,NONE OF THE ABOVE,CFALLJBGZ697,CFALLJBGZ697,GARTNER  INC.,"GARTNER, INC.",0EFU3,
80GRC022AA023,,P00002,0,BPA Blanket Purchase Agreement,$0.00,"Apr 15, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA GLENN RESEARCH CENTER,P,3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT,332710.0,MACHINE SHOPS,NEWPORT NEWS,VA,236062551,NONE,NONE OF THE ABOVE,X7LUT2X36JC1,EUY1C3NM2WN3,CALSPAN HOLDINGS  LLC,CALSPAN SYSTEMS CORPORATION,8Y173,
80GRC022AA024,,P00002,0,BPA Blanket Purchase Agreement,$0.00,"Apr 15, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA GLENN RESEARCH CENTER,P,3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT,332710.0,MACHINE SHOPS,ELKHART,IN,465148299,NONE,NONE OF THE ABOVE,EY94JAHLDPF4,EY94JAHLDPF4,KESSINGTON  LLC,"KESSINGTON, LLC",7W902,
80HQTR21AA001,,P00004,0,BPA Blanket Purchase Agreement,$0.00,"Mar 11, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA HEADQUARTERS,S,R499,SUPPORT- PROFESSIONAL: OTHER,541990.0,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",HERNDON,VA,201716381,NONE,NONE OF THE ABOVE,NKYPGW97MLK3,X6A8KNX2LRF1,AIRBUS SE,AIRBUS DS GEO INC.,0DB08,
80NSSC21M0005,,P00007,0,Cooperative Agreement,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AR11,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",,,STILLWATER,OK,740781030,,,NNYDFK5FTSX9,NNYDFK5FTSX9,OKLAHOMA STATE UNIVERSITY,OKLAHOMA STATE UNIVERSITY,0U784,
80NSSC24K0177,,P00003,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,BALTIMORE,MD,212182608,,,FTMTDMBR29C7,GS4PNKTRNKL3,JOHNS HOPKINS UNIVERSITY,THE JOHNS HOPKINS UNIVERSITY,5L406,
80NSSC24K1612,,P00001,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,AUSTIN,TX,787121139,,,V6AFQPN18437,V6AFQPN18437,UNIVERSITY OF TEXAS AT AUSTIN,UNIVERSITY OF TEXAS AT AUSTIN,9B981,
80NSSC24M0193,,P00003,0,Cooperative Agreement,$0.00,"May 12, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,CAMBRIDGE,MA,021385366,,,LN53LCFJFL45,LN53LCFJFL45,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,1NQH4,
80NSSC23K1430,,P00003,0,Grant For Research,$0.00,"May 12, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,BOSTON,MA,021156027,,,JDLVAVGYJQ21,JR2RTJW1HBW6,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,3Q2L2,
80NSSC25FA315,80NSSC24AA005,P00001,0,BPA Call Blanket Purchase Agreement,"-$28,832.00","May 5, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R799,SUPPORT- MANAGEMENT: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,ACTON,MA,017204769,NONE,NONE OF THE ABOVE,KN1GY4AMCM68,KN1GY4AMCM68,NATIONAL QUALITY ASSURANCE - U.S.A.  INC.,"NATIONAL QUALITY ASSURANCE - U.S.A., INC.",06JW5,
80HQTR21F0124,GS10F0100T,P00022,0,DO Delivery Order,$0.00,"Mar 17, 2025","Sep 21, 2020",8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA HEADQUARTERS,S,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541330.0,ENGINEERING SERVICES,VIENNA,VA,221823990,NONE,NONE OF THE ABOVE,WTBCF4RER7H5,WTBCF4RER7H5,OVERLOOK SYSTEMS TECHNOLOGIES  INC.,"OVERLOOK SYSTEMS TECHNOLOGIES, INC.",0AV04,
80NM0018F0669,80NM0018D0004,P00007,0,DO Delivery Order,$0.00,"Apr 7, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA MANAGEMENT OFFICE -- JPL,S,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",PASADENA,CA,911098001,NONE,NONE OF THE ABOVE,YC1YP79BFD19,YC1YP79BFD19,CALIFORNIA INSTITUTE OF TECHNOLOGY,CALIFORNIA INSTITUTE OF TECHNOLOGY,23835,
