_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,80NSSC21K1252_CX:_P00004,,[-9223372036854775808],UNDERSTANDING AND PREDICTING DOMINANT PHYSICS IN SUPERSONIC RETROPROPULSION,HQ,"UNIVERSITY OF MARYLAND, COLLEGE PARK",,80NSSC21K1252 CX: P00004,Funding | Funding - Augmentation,Elias Carrion,Pino Martin,,2025-10-27,2021-08-02,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC21K1252_P00005,,[-9223372036854775808],UNDERSTANDING AND PREDICTING DOMINANT PHYSICS IN SUPERSONIC RETROPROPULSION,HQ,"UNIVERSITY OF MARYLAND, COLLEGE PARK",,80NSSC21K1252 P00005,Administrative | Administrative - Change Pop End Date,Hung Nguyen,Pino Martin,,2025-10-27,2021-08-02,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC22K0817_Cancelled,,[-9223372036854775808],Simulating Luminous Black Hole Accretion Disks and Coronae,HQ,The President and Fellows of Harvard College,,80NSSC22K0817 Cancelled,Funding | Funding - Incremental,Sanaz Vahidinia,Matthew Liska,,2025-10-31,2022-11-01,D.4 Astrophysics Theory Program,Cancelled
nasa-public,grants,80NSSC23K0208,,[-9223372036854775808],The Ion Strahl and Its Contribution to Solar-Wind Energi,GSFC,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",4200795895,80NSSC23K0208,Base Award,Jaye Verniero,KRISTOFF PAULSON,,2025-11-01,2022-11-02,B.16 Parker Solar Probe Guest Investigators,Cancelled
nasa-public,grants,80NSSC23K0306_CX_P00002,,[1745193600000],Harnessing ECOSTRESS to assess the diurnal dynamics of the urban thermal environments and their impacts on heat-related health risks,HQ,University of Alabama in Huntsville,,80NSSC23K0306 CX P00002,Administrative Internal | Administrative - Other,Keith Gaddis,Leiqiu Hu,2025-04-21,2025-11-30,2022-12-01,A.33 ECOSTRESS Science and Applications Team,Cancelled
nasa-public,grants,80NSSC23K0287,,[-9223372036854775808],A Proposal for Continuation of Phase E Activities for the Advanced Composition Explorer SWEPAM Element,GSFC,Los Alamos National Laboratory,4200821339,80NSSC23K0287,Base Award,ERIC CHRISTIAN,Ruth  Skoug,,2025-11-30,2022-12-01,,Cancelled
nasa-public,grants,80NSSC21K0109_CK:P00005,,[-9223372036854775808],The High Altitude Student Platform (HASP) for Training the Next Generation of SMD Scientists and Engineers,GSFC,Louisiana State University and A&M College,,80NSSC21K0109 CK:P00005,|,Thomas Hams,Douglas  Granger,,2025-11-30,2020-12-01,Science Mission Directorate Single-Source - by invitation only (2020),Cancelled
nasa-public,grants,80NSSC23K0506_CX_P00001,,[-9223372036854775808],"2-?m high-power, high repetition rate pulsed fiber laser for lidar Martian atmospheric CO2 and pressure profiling",LARC,"AdValue Photonics, Inc.",,80NSSC23K0506 CX P00001,|,JOEL CAMPBELL,MICHAEL  MIELKE,,2025-12-13,2022-12-14,C.12 Planetary Instrument Concepts for the Advancement of Solar System Observations,Cancelled
nasa-public,grants,NNX16AB94A_CANCELLED,,[-9223372036854775808],"Real World, Real Science: Using NASA Data to Explore Weather and Climate",HQ,GULF OF MAINE RESEARCH INSTITUTE,4200792420,NNX16AB94A CANCELLED,"Funding | Funding - Augmentation, Administrative - Added GCAM Appendix H Terms and Conditions",Kristen Erickson,LEIGH PEAKE,,2025-12-31,2016-01-04,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,80NSSC23K0730,,[-9223372036854775808],The Temporal and Spatial Variability of Ultra Hot Jupiter Atmospheres,GSFC,OHIO STATE UNIVERSITY,4200830279,80NSSC23K0730,Base Award,Hannah Jang-Condell,MARSHALL JOHNSON,,2025-12-31,2023-01-01,F.3 Exoplanets Research,Cancelled
nasa-public,grants,NNX16AB91A_CX_S012,,[-9223372036854775808],"NASA eClips 4D Multi-Dimensional Strategies to Promote Understanding of NASA Science: Design, Develop, Disseminate and Discover",HQ,National Institute of Aerospace Associates,,NNX16AB91A CX S012,"Administrative | Administrative - A.G.O. Change, Administrative - T.O. Change",Lin Chambers,SHELLEY SPEARS,,2025-12-31,2016-01-04,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,80NSSC21M0006_CX_P00004,,[-9223372036854775808],NASA SMD COMMUNITY OF PRACTICE FOR EDUCATION (SCoPE),HQ,Arizona State University,4200828485,80NSSC21M0006 CX P00004,|,Kristen Erickson,MEENAKSHI WADHWA,,2025-12-31,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Cancelled
nasa-public,grants,NNX16AB87A_S011,,[-9223372036854775808],SMOKY MOUNTAINS STEM COLLABORATIVE: BRIDGING THE GAPS IN THE K-12 TO POST-SECONDARY EDUCATION PATHWAY,HQ,SOUTHWESTERN COMMUNITY COLLEGE,,NNX16AB87A S011,Administrative | Administrative - T.O. Change,Lin Chambers,MATTHEW CASS,,2025-12-31,2016-01-04,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,80NSSC21M0037_CANCELLED,,[-9223372036854775808],NASA/IPAC INFRARED SCIENCE ARCHIVE (IRSA) AND NASA/IPAC EXTRAGALACTIC DATABASE (NED) - IRSA,HQ,California Institute of Technology,,80NSSC21M0037 CANCELLED,Funding | Funding - Incremental,HASHIMA HASAN,GEORGE HELOU,,2025-12-31,2021-01-01,ASTROPHYSICS ARCHIVES PROGRAMMATIC REVIEW 2020,Cancelled
nasa-public,grants,80NSSC21M0004_CANCELLED,,[-9223372036854775808],NASA's Neurodiversity Network (N3): Creating Inclusive Informal Learning Opportunities across the Spectrum,HQ,Sonoma State University,,80NSSC21M0004 CANCELLED,Funding | Funding - Incremental,Kristen Erickson,Lynn Cominsky,,2025-12-31,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Cancelled
nasa-public,grants,80NSSC21M0007_CX_P00005,,[-9223372036854775808],"SCIACT STEM ECOSYSTEMS TO BROADEN PARTICIPATION IN AUTHENTIC STEM LEARNING: CONNECTING SUBJECT MATTER EXPERTS, COMMUNITIES, AND LEARNERS OF ALL AGES (""SciAct STEM Ecosystems"")",HQ,Arizona State University,,80NSSC21M0007 CX P00005,Funding | Funding - De-Obligation,Kristen Erickson,Rae Ostman,,2025-12-31,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Cancelled
nasa-public,grants,NNX16AB91A_CANCELLED,,[-9223372036854775808],"NASA eClips 4D Multi-Dimensional Strategies to Promote Understanding of NASA Science: Design, Develop, Disseminate and Discover",HQ,National Institute of Aerospace Associates,4200789878,NNX16AB91A CANCELLED,Funding | Funding - Incremental,Kristen Erickson,SHELLEY SPEARS,,2025-12-31,2016-01-04,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,NNX16AC65A_CX:S015,,[-9223372036854775808],NASA'S UNIVERSE OF LEARNING: AN INTEGRATED ASTROPHYSICS STEM LEARNING AND LITERACY PROGRAM,HQ,Space Telescope Science Institute,4200838965,NNX16AC65A CX:S015,Funding | Funding - Incremental,Kristen Erickson,Denise Smith,,2025-12-31,2016-01-04,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,80NSSC21M0008_CANCELLED,,[-9223372036854775808],THE ECLIPSE SOUNDSCAPES CITIZEN SCIENCE PROJECT,HQ,,4200789919,80NSSC21M0008 CANCELLED,|,Kristen Erickson,Henry Winter,,2025-12-31,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Cancelled
nasa-public,grants,80NSSC21M0007_CANCELLED,,[-9223372036854775808],"SCIACT STEM ECOSYSTEMS TO BROADEN PARTICIPATION IN AUTHENTIC STEM LEARNING: CONNECTING SUBJECT MATTER EXPERTS, COMMUNITIES, AND LEARNERS OF ALL AGES (""SciAct STEM Ecosystems"")",HQ,Arizona State University,,80NSSC21M0007 CANCELLED,Funding | Funding - Incremental,Kristen Erickson,Rae Ostman,,2025-12-31,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Cancelled
nasa-public,grants,NNX16AB87A_CX_S011,,[-9223372036854775808],SMOKY MOUNTAINS STEM COLLABORATIVE: BRIDGING THE GAPS IN THE K-12 TO POST-SECONDARY EDUCATION PATHWAY,HQ,,4200828652,NNX16AB87A CX S011,Funding | Funding - Incremental,Kristen Erickson,MATTHEW CASS,,2025-12-31,2016-01-04,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,80NSSC23K0474,,[-9223372036854775808],Multi-Survey Photometric Redshifts with Probabilistic Output for Galaxies with 0.0 < Z < 0.6,HQ,BATTELLE MEMORIAL INSTITUTE,4200825955,80NSSC23K0474,Base Award,DOUGLAS HUDGINS,Nell  Byler,,2026-01-10,2023-01-11,D.2 Astrophysics Data Analysis,Cancelled
nasa-public,grants,80NSSC22K0532_Cancelled,,[-9223372036854775808],Tracing Lunar Volatile Sources Based on Composition,HQ,"Johns Hopkins University, The",4200831718,80NSSC22K0532 Cancelled,Funding | Funding - Incremental,Sarah Noble,Kathleen Mandt,,2026-01-25,2022-01-26,C.27 Volatiles Investigating Polar Exploration Rover Co-Investigator Program,Cancelled
