_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,80NSSC18K1510_CANCELLED,,[-9223372036854775808],ROBUST ENTRY AND LANDING GUIDANCE UNDER DYNAMIC UNCERTAINTY,HQ,UNIVERSITY OF COLORADO,,80NSSC18K1510 CANCELLED,Administrative | Administrative - 1st No Cost Extension,HUNG NGUYEN,Jay McMahon,,2022-09-30,2018-10-01,EARLY CAREER FACULTY (ECF),Cancelled
nasa-public,grants,80NSSC22M0015,,[-9223372036854775808],DAVINCI core team work,GSFC,"Johns Hopkins University, The",4200782768,80NSSC22M0015,Base Award,Giada Arney,Noam Izenberg,,2022-09-30,2021-10-01,,Cancelled
nasa-public,grants,80NSSC19M0229_CANCELLED,,[-9223372036854775808],"2019 Grant & Cooperative Agreement between NASA Langley Research Center, Aeronautics Research Directorate and Christopher Newport University, Department of Physics, Computer Science, and Engineering",LARC,,,80NSSC19M0229 CANCELLED,|,Chascydy Smith,Elizabeth Ward,,2022-09-30,2019-10-01,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC19K1316_cancelled,,[-9223372036854775808],Optical Property Calculations adn Radiation Parameterizations in support of CERES Science Team,LARC,,4200813259,80NSSC19K1316 cancelled,Funding | Funding - Augmentation,Norman Loeb,Ping Yang,,2022-09-30,2019-10-01,Single Source,Cancelled
nasa-public,grants,80NSSC20M0236,,[-9223372036854775808],The First 4-Year Engineering-Focused Degree at the University of the Virgin Islands: Institutionalizing Caribbean Participation in NASA Science,AFRC,University of the Virgin Islands,"4200740079, 4200740079",80NSSC20M0236,Package Processing,VICTORIA COSTA,David morris,,2022-09-30,2020-10-01,MUREP Institutional Research Opportunity (MIRO),Cancelled
nasa-public,grants,80NSSC21K1781_CANCELLED,,[-9223372036854775808],"""Mauna Loa Solar Observatory K-Cor Coronal Mass Ejection reports for Solar Energetic Particle Scoreboard and Integrated Space Weather Analysis System""",GSFC,University Corporation For Atmospheric Research,4200808886,80NSSC21K1781 CANCELLED,|,MARIA KUZNETSOVA,Joan Burkepile,,2022-09-30,2021-10-01,,Cancelled
nasa-public,grants,80NSSC20K1846_CANCELLED,,[-9223372036854775808],Lunar Orbiter Laser Altimeter Investigation and Associated Science,GSFC,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,80NSSC20K1846 CANCELLED,|,TIMOTHY MCCLANAHAN,David Smith,,2022-09-30,2020-10-01,single source,Cancelled
nasa-public,grants,80NSSC20M0249_CANCELLED,,[-9223372036854775808],Materials and Interfaces Center for High Energy Storage and Sensing (MICHESS),AFRC,Xavier University of Louisiana,,80NSSC20M0249 CANCELLED,Funding | Funding - Augmentation,VICTORIA COSTA,LAMARTINE MEDA,,2022-09-30,2020-10-01,MUREP Institutional Research Opportunity (MIRO) Group 6 Renewal,Cancelled
nasa-public,grants,NNX16AQ76G_CANCELLED,,[-9223372036854775808],IMPROVEMENTS TO THE GPM RADIOMETER ALGORITHM,GSFC,,,NNX16AQ76G CANCELLED,Funding | Funding - Extension and Additional Time,Scott Braun,CHRISTIAN KUMMEROW,,2022-09-30,2016-10-01,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC19M0237_CANCELLED,,[-9223372036854775808],"Enhanced Ocean Policy, Observations, Literacy, and Collaboration",GSFC,,4200781167,80NSSC19M0237 CANCELLED,Funding | Funding - Incremental,DAVID LE VINE,KRISTEN YARINCIK,,2022-09-30,2019-10-01,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC19M0199_CANCELLED,,[-9223372036854775808],NASA-CCNY Center for Advanced Batteries for Space (ABS),AFRC,,4200777172,80NSSC19M0199 CANCELLED,|,VICTORIA COSTA,ROBERT MESSINGER,,2022-09-30,2019-10-01,MUREP Institutional Research Opportunity (MIRO) Group 7,Cancelled
nasa-public,grants,80NSSC17M0081_CANCELLED,,[-9223372036854775808],MICROBIAL DETECTION AT LOW LEVELS BY [125]1 RADIOLABELING,ARC,,,80NSSC17M0081 CANCELLED,Administrative | Administrative - 2nd No Cost Extension,CHRISTOPHER DATEO,David Summers,,2022-09-30,2017-10-01,PLANETARY PROTECTION RESEARCH,Cancelled
nasa-public,grants,80NSSC22K0069,,[-9223372036854775808],Real Time iPATH Nowcasting System,GSFC,UNIVERSITY OF ALABAMA AT HUNTSVILLE,4200776913,80NSSC22K0069,Base Award,MARIA KUZNETSOVA,GANG LI,,2022-09-30,2021-10-01,,Cancelled
nasa-public,grants,80NSSC19M0192,,[-9223372036854775808],"2019 Grant & Cooperative Agreement between NASA Langley Research Center, Aeronautics Research Directorate and Christopher Newport University, Department of Physics, Computer Science, and Engineering",LARC,Christopher Newport University,,80NSSC19M0192,Distribution,Chascydy Smith,Elizabeth Ward,,2022-09-30,2019-10-01,UNSOLICITED,Cancelled
nasa-public,grants,NNX17AJ68G__CANCELLED,,[-9223372036854775808],USING ORGANIC MOLECULE DETECTIONS IN MARS ANALOG ENVIRONMENTS TO INTERPRET THE RESULTS OF THE SAM INVESTIGATION ON THE MARS SCIENCE LABORATORY MISSION,GSFC,GEORGETOWN UNIVERSITY,,NNX17AJ68G  CANCELLED,|,Paul Mahaffy,SARAH JOHNSON,,2022-09-30,2017-04-14,SINGLE SOURCE,Cancelled
nasa-public,grants,80NSSC22K0075,,[-9223372036854775808],"""Simulating the inner magnetosphere using the RAM-SCB model at CCMC""",GSFC,,4200780448,80NSSC22K0075,Base Award,MARIA KUZNETSOVA,Steven Morley,,2022-09-30,2021-11-01,,Cancelled
nasa-public,grants,80NSSC20K1252_CANCELLED,,[-9223372036854775808],Revitalizing and Searching Defense Meteorological Satellite Program Data for Indicators of Extreme Space Weather,HQ,,,80NSSC20K1252 CANCELLED,|,Reinhard Friedel,Delores Knipp,,2022-09-30,2020-06-29,Science Mission Directorate Single-Source - by invitation only (2019),Cancelled
nasa-public,grants,80NSSC21M0208_Cancelled,,[-9223372036854775808],Using the EXES Science Instrument on SOFIA,ARC,,,80NSSC21M0208 Cancelled,|,Nancy Rustemeyer,Matthew Richter,,2022-09-30,2021-10-01,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC18K1609_CANCELLED,,[-9223372036854775808],COMPTON THICK ENVIRONMENT OF YOUNG RADIO SOURCES CONSTRAINED WITH NUSTAR,GSFC,,,80NSSC18K1609 CANCELLED,"Administrative | Administrative - 3rd No Cost Extension, Administrative - A.G.O. Change",CRAIG MARKWARDT,MALGORZATA SOBOLEWSKA,,2022-09-30,2018-10-01,NuSTAR Guest Observer - Cycle 4,Cancelled
nasa-public,grants,80NSSC19K1604_CANCELLED,,[-9223372036854775808],Quantifying selection for pathogenicity and antibiotic resistance in bacteria and fungi on the ISS ? a Microbial Tracking Study,ARC,University of California at San Diego,4200793848,80NSSC19K1604 CANCELLED,|,Frances Donovan,Jack Gilbert,,2022-09-30,2019-10-01,Appendix B: Solicitation of Proposals for Flight and Ground Space Biology Research,Cancelled
nasa-public,grants,80NSSC18M0146_CANCELLED,,[-9223372036854775808],Smooth Wall Separation Over Bumps: Benchmark Experiments for CFD Validation,LARC,,,80NSSC18M0146 CANCELLED,Funding | Funding - Incremental,MICHAEL KEGERISE,KEVIN  LOWE,,2022-09-30,2018-10-01,Transformational Tools and Technologies (TTT),Cancelled
nasa-public,grants,80NSSC19K0021_CANCELLED,,[-9223372036854775808],"Origins, preservation and exposure histories of rock units in the Noachian plains",HQ,,,80NSSC19K0021 CANCELLED,|,Mitchell Schulte,Deanne Rogers,,2022-10-02,2018-10-03,Mars Data Analysis program,Cancelled
nasa-public,grants,80NSSC18K1599_cancelled,,[-9223372036854775808],"Investigating the extratropical cloud optical depth feedback with MODIS, AIRS, CERES and AMSR",HQ,,,80NSSC18K1599 cancelled,Administrative | Administrative - 2nd No Cost Extension,Tsengdar Lee,Ivy Tan,,2022-10-02,2018-11-01,"The Science of TERRA, AQUA, and SUOMI NPP",Cancelled
nasa-public,grants,80NSSC20K0094,,[-9223372036854775808],C4 Photosynthesis in Space (C4Space),KSC,Battelle Memorial Institute,4200713985,80NSSC20K0094,CS Approve,Howard Levine,Christer Jansson,,2022-10-10,2019-10-11,Appendix B: Solicitation of Proposals for Flight and Ground Space Biology Research,Cancelled
nasa-public,grants,80NSSC20K0093,,[-9223372036854775808],Dynamics of Microbiomes in Space (DynaMoS),KSC,Battelle Memorial Institute,4200713982,80NSSC20K0093,CS Approve,Howard Levine,JANET JANSSON,,2022-10-10,2019-10-11,Research Opportunities in Space Biology (ROSBio),Cancelled
nasa-public,grants,80NSSC21M0340_Cancelled,,[-9223372036854775808],SciAct2.0 - AEROKATS and ROVER Education Network (AREN),GSFC,University of South Florida,,80NSSC21M0340 Cancelled,"Funding | Funding - Reobligate, Administrative - A.G.O. Change",Geoffrey Bland,JONATHAN GAINES,,2022-10-17,2021-09-01,,Cancelled
nasa-public,grants,80NSSC21K1270_CX_P00006,,[-9223372036854775808],A FRAMEWORK FOR PREVENTING AND RECOVERING FROM CASCADING FAILURE EVENTS FOR SPACE-BASED DC POWER SYSTEMS,HQ,UNIVERSITY OF COLORADO ? BOULDER,,80NSSC21K1270 CX P00006,Administrative | Administrative - Change Pop End Date,Hung Nguyen,Bri-Mathias Hodge,,2022-10-20,2021-08-30,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC21K0940_P00003,,[-9223372036854775808],DIGGING THROUGH THE TRASH: AN INVESTIGATION INTO HIDDEN SOURCES OF INFORMATION IN GNSS-R OBSERVATIONS,HQ,,,80NSSC21K0940 P00003,Funding | Funding - De-Obligation P.I. Transfer,Jared Entin,Clara Chew,,2022-10-21,2021-04-21,A.32 NEW (EARLY CAREER) INVESTIGATOR PROGRAM IN EARTH SCIENCE,Cancelled
nasa-public,grants,80NSSC19K1389_CANCELLED,,[-9223372036854775808],Reflight of the Compton Spectrometer and Imager,GSFC,,4200794020,80NSSC19K1389 CANCELLED,Funding | Funding - Augmentation,Valerie Connaughton,STEVEN BOGGS,,2022-10-22,2019-07-23,Astrophysics Research and Analysis,Cancelled
nasa-public,grants,80NSSC20K0134_cancellled,,[-9223372036854775808],Advanced Understanding and Modeling of Polar Cloud & Precipitation using CloudSat & CALIPSO,HQ,,,80NSSC20K0134 cancellled,Funding | Funding - Incremental,DAVID CONSIDINE,MICHAEL STEELE,,2022-10-24,2019-10-25,CloudSat and CALIPSO Science Team Recompete,Cancelled
nasa-public,grants,80NSSC20K0129_CANCELLED,,[-9223372036854775808],"Development of innovative uses of CALIPSO data for vegetation, bathymetry and cryosphere studies",HQ,Science Systems And Applications,,80NSSC20K0129 CANCELLED,|,DAVID CONSIDINE,Xiaomei Lu,,2022-10-24,2019-10-25,CloudSat and CALIPSO Science Team Recompete,Cancelled
nasa-public,grants,80NSSC19K0077_CANCELLED,,[-9223372036854775808],HEAVY IONS INSIDE GEOSTATIONARY ORBIT,HQ,,4200784626,80NSSC19K0077 CANCELLED,Funding | Funding - Incremental,Jeff Morrill,JORG-MICHA JAHN,,2022-10-25,2018-10-26,HELIOPHYSICS LIVING WITH A STAR SCIENCE,Cancelled
nasa-public,grants,80NSSC20K0158_CANCEL,,[-9223372036854775808],Supporting operational regional land cover monitoring at high spatial and temporal resolution for the Hindu-Kush-,HQ,"University of Maryland, College Park",,80NSSC20K0158 CANCEL,"Administrative | Administrative - 1st No Cost Extension, Administrative - A.G.O. Change",Nancy Searby,PETER POTAPOV,,2022-10-27,2019-10-28,SERVIR Applied Sciences Team,Cancelled
nasa-public,grants,NNX17AB36G_CANCEL,,[-9223372036854775808],USING THE SMALL CARRY-ON IMPACTOR TO CHARACTERIZE 1999 JU3 AND THE IMPACT CRATERING PROCESS,HQ,,,NNX17AB36G CANCEL,|,Kathleen Vander Kaaden,Carolyn Ernst,,2022-10-30,2016-10-31,HAYABUSA2 PARTICIPATING SCIENTIST,Cancelled
nasa-public,grants,NNX16AL23G_CANCELLED,,[-9223372036854775808],QUANTIFICATION OF ERROR CHARACTERISTICS OF TRMM AND GPM PRECIPITATION PRODUCTS,GSFC,,,NNX16AL23G CANCELLED,Administrative | Administrative - Other,DAVID WOLFF,PIERRE-EMMANUEL KIRSTETTER,,2022-11-01,2016-06-08,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC19M0108_CANCELLED,,[-9223372036854775808],"Wetland status, change, and seasonal inundation dynamics for assessing the vulnerability of waterfowl habitat within the ABoVE study domain",HQ,Michigan Technological University,,80NSSC19M0108 CANCELLED,|,Hank Margolis,Nancy French,,2022-11-02,2019-04-01,Terrestrial Ecology: Arctic-Boreal Vulnerability Experiment ? Phase 2,Cancelled
nasa-public,grants,80NSSC19K1685_CANCELLED,,[-9223372036854775808],Modeling Sonic Boom Propagation through Atmospheric Turbulence and Around the Lateral Extent of the Boom Carpet,ARC,,,80NSSC19K1685 CANCELLED,|,CAROLYN KNOWLES,Steven Miller,,2022-11-04,2019-09-05,2019 NASA Fellowship Activity,Cancelled
nasa-public,grants,80NSSC20K0227_cancelled,,[-9223372036854775808],EXPERIMENTAL STUDY OF BRINE PRODUCTION IN THE MARTIAN REGOLITH: INSIGHTS INTO PRESENT-DAY HABITABILITY,HQ,University of Arkansas at Fayetteville,4200769178,80NSSC20K0227 cancelled,Funding | Funding - Incremental,Mitchell Schulte,VINCENT CHEVRIER,,2022-11-04,2019-11-05,HABITABLE WORLDS,Cancelled
nasa-public,grants,NNX16AB69A_CANCELLED,,[-9223372036854775808],"DISTRIBUTION, PRESERVATION AND DETECTION OF ORGANIC BIOMARKERS IN MARS ANALOGUE ENVIRONMENTS",ARC,,,NNX16AB69A CANCELLED,"Administrative | Administrative - Other, Administrative - ONR Delegation",Christopher Mckay,ALFONSO DAVILA,,2022-11-04,2015-11-05,PLANETARY SCIENCE AND TECHNOLOGY THROUGH ANALOG RESEARCH,Cancelled
nasa-public,grants,80NSSC19K1676_CANCELLED,,[-9223372036854775808],Automated recognition and classification of Martian transverse aeolian ridges,ARC,UNIVERSITY OF NEW MEXICO,,80NSSC19K1676 CANCELLED,|,CAROLYN KNOWLES,Louis Scuderi,,2022-11-05,2019-09-05,2019 NASA Fellowship Activity,Cancelled
nasa-public,grants,80NSSC22K1682,,[-9223372036854775808],Competitive Phase A - Magnetic Field Investigation for Currents and Energy Flow in Magnetosphere-Ionosphere-Thermosphere Coupling,GSFC,National Center for Atmospheric Research,4200808497,80NSSC22K1682,Base Award,Guan Le,GANG LU,,2022-11-10,2022-08-11,,Cancelled
nasa-public,grants,80NSSC20K0280,,[-9223372036854775808],Using CloudSat and CALIPSO observations to assess and inform Global Climate Model hydrometeor generators about the horizontal and vertical subgrid variability of clouds and precipitation,GSFC,University of Maryland at Baltimore County,4200716808,80NSSC20K0280,CS Approve,LAZAROS ORAIOPOULOS,ZHIBO ZHANG,,2022-11-11,2019-11-12,CloudSat and CALIPSO Science Team Recompete,Cancelled
nasa-public,grants,80NSSC21M0044_CANCELLED,,[-9223372036854775808],"PROJECT IANOS: INSPIRATIONAL SPACE EDUCATION, PAST, PRESENT AND FUTURE",HQ,,,80NSSC21M0044 CANCELLED,Administrative | Administrative - 1st No Cost Extension,Beverly Girten,Andrew Aldrin,,2022-11-12,2020-11-09,TEAMS ENGAGING AFFILIATED MUSEUMS AND INFORMAL INSTITUTIONS (TEAM II) REMOTE OPPORTUNITIES RAPID RESPONSE (RORR),Cancelled
