Award ID,source_type,recipient,value,savings,status,source_url,description,agency
80NSSC24K0178,Grant,Brown University,,,,,Termination for convenience agreement - interdisciplinary research in earth sciences for Science Mission Directorate (SMD/ESD),National Aeronautics and Space Administration
80NSSC24K0520,Grant,Natural Areas Conservancy Inc,,,,,Termination for convenience agreement - interdisciplinary research in earth sciences for support for Science Mission Directorate (SMD/ESD),National Aeronautics and Space Administration
80NSSC24K0892,Grant,George Mason University,,,,,Termination for convenience agreement  - interdisciplinary research in earth sciences support for Science Mission Directorate (SMD/ESD),National Aeronautics and Space Administration
80NSSC24K0944,Grant,"National Society Of Black Physicists, Inc.",,,,,"Termination for convenience agreement  - topical workshops, symposiums, and conferences  Science Mission Directorate (SMD/planetary)",National Aeronautics and Space Administration
80NSSC24K1193,Grant,Cornell University,,,,,"Termination for convenience agreement  - topical workshops, symposiums, and conferences  Science Mission Directorate (SMD/planetary)",National Aeronautics and Space Administration
80NSSC24K1913,Grant,University Of Hawaii,,,,,Rescind - stop work notice issued with notification of intent to terminate - 21-jpsp21-0018 microwave measurements of the galilean satellites,National Aeronautics and Space Administration
80NSSC24M0193,Contract,President And Fellows Of Harvard College,,,,,Termination for convenience agreement - NASA open innovation research -support for STMD directorate,National Aeronautics and Space Administration
80NSSC24PA210,Contract,Unibap Ab,,,,,Stop work notice issued with notification of intent to terminate for convenience - unibap - ose-SAT in-space autonomy testbed,National Aeronautics and Space Administration
80NSSC24PA590,Contract,"Eli Group, Llc",,,,,Stop work notice issued with notification of intent to terminate for convenience - 2024 leadership lab for women,National Aeronautics and Space Administration
80NSSC24PA609,Contract,"Politico, Llc",,,,,Termination for convenience agreement - politico pro agreement for OCFO,National Aeronautics and Space Administration
80NSSC24PA710,Contract,"Emp Consultants, Llc",,,,,Termination for convenience agreement - novice license renewal,National Aeronautics and Space Administration
80NSSC24PA723,Contract,"Politico, Llc",,,,,Termination for convenience agreement - renewal for politico pro service for OLIA,National Aeronautics and Space Administration
80NSSC24PA753,Contract,Keysight Technologies Inc,,,,,Termination for convenience agreement ---- license maintenance for genesys,National Aeronautics and Space Administration
80NSSC24PA923,Contract,Keysight Technologies Inc,,,,,Termination for convenience agreement - renew software license for ADS,National Aeronautics and Space Administration
80NSSC24PB139,Contract,"Datadog, Inc.",,,,,Termination for convenience agreement - datadog subscription,National Aeronautics and Space Administration
80NSSC24PB679,Contract,"Gartner, Inc.",,,,,"Termination for convenience agreement --NASA human capital and learning & development advisory, research and benchmarking services.",National Aeronautics and Space Administration
80NSSC24PB891,Contract,"Career Communications Group, Inc.",,,,,Termination for convenience: women of color in STEM silver partnership and participation in their national convention,National Aeronautics and Space Administration
80NSSC24PC049,Contract,Society Of Women Engineers,,,,,Termination for convenience agreement - society of women engineers (swe) corporate partnership council and participation in associated recruiting events,National Aeronautics and Space Administration
80NSSC24PC269,Contract,Kpmg Llp,,,,,Stop work notice issued with notification of intent to terminate for convenience - kpmg ASPIRE immersion,National Aeronautics and Space Administration
80NSSC24PC331,Contract,"Eli Group, Llc",,,,,Termination for convenience agreement - executive leadership impact,National Aeronautics and Space Administration
80NSSC24PC475,Contract,Zuken Usa Inc,,,,,Termination for convenience agreement - zuken DS.e3 license data and configuration management POP: 10/1/24 - 9/30/25,National Aeronautics and Space Administration
80NSSC25FA034,Contract,"Techpride, Inc.",,,,,"Termination for convenience agreement - consulting services to facilitate program alignment to long-term strategic vision, organizational development, and skill building",National Aeronautics and Space Administration
80NSSC25FA078,Contract,"Colossal Contracting, Llc",,,,,Termination for convenience agreement prisma cloud renewal,National Aeronautics and Space Administration
80NSSC25FA145,Contract,"B/W Color Prints, Llc",,,,,Stop work notice issued - service for installation of the science on the sphere system,National Aeronautics and Space Administration
80NSSC25FA315,Contract,"National Quality Assurance - U.S.A., Inc.",,,,,Termination for convenience-as9100 audit at AFRC's NASA facility,National Aeronautics and Space Administration
80NSSC25K7032,Grant,Emory University,,,,,Termination for convenience agreement - advancing environmental justice in atlanta through GIS-enabled community engagement - support for SMD directorate,National Aeronautics and Space Administration
80NSSC25K7034,Grant,University Of Oklahoma,,,,,"Termination for convenience agreement - 23-eej23-0046, building co-design and co-learning digital twins against floods on tribal lands in support of indigenous communities",National Aeronautics and Space Administration
80NSSC25K7036,Grant,University Of Richmond,,,,,"Termination for convenience agreement - building capacity for resiliency, education, and environmental justice across the changing indigenous landscapes of virginia - support for SMD directorate",National Aeronautics and Space Administration
80NSSC25K7045,Grant,Kutztown University Of Pennsylvania,,,,,"Termination for convenience agreement - the kutztown university's h2o+h2s ""here to observe + here to storytell"" program will use mission science and scientific storytelling AS a student experiential learning tool to scaffold workforce skills. each year, the 10-12 student observer cohort will be composed of STEM and STEM-interested freshmen, sophomores and incoming transfer students from introductory courses. the program will focus on those students not typically served BY outreach and engagement programs. kutztown university has an established 'learning community' approach, where a group of students is paired with faculty mentors and meet once a week AS a PART of their schedule. h2o+h2s will use this program so students are supported with a 1-credit course (1 hour PER week), preserving dedicated time for the student observer to fulfill the program without disruption to their academic classes or overburdening schedules. the course will integrate the here to explore program activities with a student-created scientific narrative project based on sharing the mission science. the students observers will develop a short audio/video storytelling project about the NASA mission. research shows that integrating storytelling, or narrative techniques, provides powerful ACCESS for students of diverse backgrounds to connect with science. two students from previous cohorts will serve AS peer mentors. scaffolding experiences will include the NASA-LED h2o activities, fieldtrips, professional meeting attendance, and mentorship through-out the year. the h2o + h2s program focuses on creating products that articulate workforce skills on student resumes. this directly supports enhanced student success when applying for future internships, graduate school, and industry jobs.",National Aeronautics and Space Administration
80NSSC25K7118,Grant,The Trustees Of Princeton University,,,,,"Rescinding stop work notice. execute a balanced science program based on discipline-specific guidance from the national academies of sciences, engineering, and medicine, administration priorities, and direction from congress.   participate AS a key partner and enabler in the agency s exploration initiative, focusing on scientific research of, on, and from the moon, lunar orbit, mars, and beyond.   advance discovery in emerging fields BY identifying and exploiting cross-disciplinary opportunities between traditional science disciplines   develop a directorate-wide, target-user focused approach to applied programs, including earth science applications, space weather, planetary defense, and space situational awareness.",National Aeronautics and Space Administration
80NSSC25K7437,Grant,The Trustees Of Princeton University,,,,,"Rescinding stop work notice. execute a balanced science program based on discipline-specific guidance from the national academies of sciences, engineering, and medicine, administration priorities, and direction from congress.   participate AS a key partner and enabler in the agency s exploration initiative, focusing on scientific research of, on, and from the moon, lunar orbit, mars, and beyond.   advance discovery in emerging fields BY identifying and exploiting cross-disciplinary opportunities between traditional science disciplines   develop a directorate-wide, target-user focused approach to applied programs, including earth science applications, space weather, planetary defense, and space situational awareness",National Aeronautics and Space Administration
80NSSC25PA014,Contract,Space Exploration Technologies Corp,,,,,"Termination for convenience agreement - ASPIRE public-private talent program, spacex immersion",National Aeronautics and Space Administration
80NSSC25PA068,Contract,University Corporation For Atmospheric Research,,,,,Termination for convenience agreement - ot Dynamical Neutral Atmosphere-Ionosphere Coupling-x (DYNAMIC-x),National Aeronautics and Space Administration
80NSSC25PA641,Contract,"Messe Dusseldorf North America, Inc.",,,,,Termination for convenience agreement - booth space for NASA at auvsi 2025,National Aeronautics and Space Administration
80NSSC25PA845,Contract,Sinequa Corp,,,,,Termination for convenience agreement - sinequa customer success engineers,National Aeronautics and Space Administration
80NSSC26P0092,Contract,Caes Mission Systems Llc,,,,,Scaled composites pn: sales-003 pn: 570014-xxx flight termination receiver/decoder and uhf command antenna replacement,National Aeronautics and Space Administration
80SSC021F0001,Contract,Trilogy Medical Resources Llc,,,,,Stop work notice issued with notification of intent to terminate for convenience - provide covid-19 rapid testing for Stennis Space Center.,National Aeronautics and Space Administration
