award_key,award_id,generated_award_id,award_type,award_type_code,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_obligated,total_potential_value,detected_by,sources,override_status
ASST_NON_80NSSC24K0944_080,80NSSC24K0944,ASST_NON_80NSSC24K0944_080,grant,04,"NATIONAL SOCIETY OF BLACK PHYSICISTS, INC.",2025-03-21,B,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - TOPICAL WORKSHOPS SYMPOSIUMS AND CONFERENCES SCIENCE MISSION DIRECTORATE (SMD/PLANETARY),24-TWSC24-0014 NSBP/NSHP: STUDENT LEADERSHIP DEVELOPMENT SUMMIT (SLDS) 2024-26,3033 WILSON BLVD STE 700,,ARLINGTON,VA,22201,08,ARLINGTON,VA,22201,08,99751.00,,description,mirror,
ASST_NON_80NSSC24K1232_080,80NSSC24K1232,ASST_NON_80NSSC24K1232_080,grant,04,TRUSTEES OF TUFTS COLLEGE,2025-03-21,B,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - 23-PIMOVE23-0018 ENVIRONMENTAL JUSTICE & PUBLIC HEALTH: CLIMATE LAND & (HEALTH) OUTCOME OF DENGUE FEVER (CLOUD),ENVIRONMENTAL JUSTICE & PUBLIC HEALTH: CLIMATE LAND & (HEALTH) OUTCOME OF DENGUE FEVER (CLOUD),169 HOLLAND ST,,SOMERVILLE,MA,02144,07,SOMERVILLE,MA,02144,07,169287.92,,description,mirror,
ASST_NON_80NSSC24K1264_080,80NSSC24K1264,ASST_NON_80NSSC24K1264_080,grant,04,UNIVERSITY OF ALASKA FAIRBANKS,2025-03-21,B,P00002,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - BRINGING EDIA TO THE PLANETARY SCIENCES COMMUNITY: A TWO-DAY AG-STYLE MEETING OF THE CROSS-AG EDIA WORKING GROUP,BRINGING EDIA TO THE PLANETARY SCIENCES COMMUNITY: A TWO-DAY AG-STYLE MEETING OF THE CROSS-AG EDIA WORKING GROUP,2145 N TANANA LOOP,,FAIRBANKS,AK,99775,00,FAIRBANKS,AK,99775,00,4718.63,,description,mirror,
ASST_NON_80NSSC24K1612_080,80NSSC24K1612,ASST_NON_80NSSC24K1612_080,grant,04,UNIVERSITY OF TEXAS AT AUSTIN,2025-03-21,B,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - 23-EARTH23-0422 CLIMATE HARMONY: STUDYING AND INFORMING URBAN CLIMATE EFFORTS IN CENTRAL TEXAS THROUGH THE DEVELOPMENT OF A REGIONAL CLIMATE ATLAS,23-EARTH23-0422 CLIMATE HARMONY: STUDYING AND INFORMING URBAN CLIMATE EFFORTS IN CENTRAL TEXAS THROUGH THE.DEVELOPMENT OF A REGIONAL CLIMATE ATLAS,110 INNER CAMPUS DR,,AUSTIN,TX,78712,25,AUSTIN,TX,78712,25,31233.60,,description,mirror,
ASST_NON_80NSSC24K1845_080,80NSSC24K1845,ASST_NON_80NSSC24K1845_080,grant,04,"NATIONAL SOCIETY OF BLACK PHYSICISTS, INC.",2025-03-21,B,P00003,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - NSBP/NSHP: JOINT ANNUAL CONFERENCES 2024-26,NSBP/NSHP: JOINT ANNUAL CONFERENCES 2024-26,2010 MASSACHUSETTS AVE NW STE 512,,WASHINGTON,DC,20036,98,WASHINGTON,DC,20036,98,299960.00,,description,mirror,
ASST_NON_80NSSC25K7045_080,80NSSC25K7045,ASST_NON_80NSSC25K7045_080,grant,04,KUTZTOWN UNIVERSITY OF PENNSYLVANIA,2025-03-21,B,P00002,0.00,"TERMINATION FOR CONVENIENCE AGREEMENT - THE KUTZTOWN UNIVERSITY'S H2O+H2S ""HERE TO OBSERVE + HERE TO STORYTELL"" PROGRAM WILL USE MISSION SCIENCE AND SCIENTIFIC STORYTELLING AS A STUDENT EXPERIENTIAL LEARNING TOOL TO SCAFFOLD WORKFORCE SKILLS. EACH YEAR THE 10-12 STUDENT OBSERVER COHORT WILL BE COMPOSED OF STEM AND STEM-INTERESTED FRESHMEN SOPHOMORES AND INCOMING TRANSFER STUDENTS FROM INTRODUCTORY COURSES. THE PROGRAM WILL FOCUS ON THOSE STUDENTS NOT TYPICALLY SERVED BY OUTREACH AND ENGAGEMENT PROGRAMS. KUTZTOWN UNIVERSITY HAS AN ESTABLISHED 'LEARNING COMMUNITY' APPROACH WHERE A GROUP OF STUDENTS IS PAIRED WITH FACULTY MENTORS AND MEET ONCE A WEEK AS A PART OF THEIR SCHEDULE. H2O+H2S WILL USE THIS PROGRAM SO STUDENTS ARE SUPPORTED WITH A 1-CREDIT COURSE (1 HOUR PER WEEK) PRESERVING DEDICATED TIME FOR THE STUDENT OBSERVER TO FULFILL THE PROGRAM WITHOUT DISRUPTION TO THEIR ACADEMIC CLASSES OR OVERBURDENING SCHEDULES. THE COURSE WILL INTEGRATE THE HERE TO EXPLORE PROGRAM ACTIVITIES WITH A STUDENT-CREATED SCIENTIFIC NARRATIVE PROJECT BASED ON SHARING THE MISSION SCIENCE. THE STUDENTS OBSERVERS WILL DEVELOP A SHORT AUDIO/VIDEO STORYTELLING PROJECT ABOUT THE NASA MISSION. RESEARCH SHOWS THAT INTEGRATING STORYTELLING OR NARRATIVE TECHNIQUES PROVIDES POWERFUL ACCESS FOR STUDENTS OF DIVERSE BACKGROUNDS TO CONNECT WITH SCIENCE. TWO STUDENTS FROM PREVIOUS COHORTS WILL SERVE AS PEER MENTORS. SCAFFOLDING EXPERIENCES WILL INCLUDE THE NASA-LED H2O ACTIVITIES FIELDTRIPS PROFESSIONAL MEETING ATTENDANCE AND MENTORSHIP THROUGH-OUT THE YEAR. THE H2O + H2S PROGRAM FOCUSES ON CREATING PRODUCTS THAT ARTICULATE WORKFORCE SKILLS ON STUDENT RESUMES. THIS DIRECTLY SUPPORTS ENHANCED STUDENT SUCCESS WHEN APPLYING FOR FUTURE INTERNSHIPS GRADUATE SCHOOL AND INDUSTRY JOBS.",HERE TO OBSERVE (H2O) + HERE TO STORYTELL (H2S),15200 KUTZTOWN RD,,KUTZTOWN,PA,19530,04,KUTZTOWN,PA,19530,04,74992.00,,description,mirror,
CONT_AWD_80ARC023CA004_8000_-NONE-_-NONE-,80ARC023CA004,CONT_AWD_80ARC023CA004_8000_-NONE-_-NONE-,contract,D,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2025-03-21,F,P00004,0.00,TERMINATION FOR CONVENIENCE - CONTRACT TO EXTEND LONGEVITY OF 3D TISSUES AND MICROPHYSIOLOGICAL SYSTEMS FOR MODELING OF ACUTE AND CHRONIC EXPOSURES TO STRESSORS IN SUPPORT OF HQ/SMD.,CONTRACT FOR RESEARCH AND DEVELOPMENT WORK TO EXTENDED LONGEVITY OF 3D TISSUES AND MICROPHYSIOLOGICAL SYSTEMS FOR MODELING OF ACUTE AND CHRONIC EXPOSURES TO STRESSORS.,630 W 168TH ST FL 4,,NEW YORK,NY,10032,13,STANFORD,CA,94305,16,2000000.00,2000000.00,both,mirror,
CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,80GSFC23CA041,CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,contract,D,AUTONOMIC INTEGRA LLC,2025-03-21,M,P00018,0.00,REMOVAL OF CLAUSES/DRDS IAW EO 14148 - STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DE-SCOPE- THE CLIMATE CHANGE RESEARCH INITIATIVE (CCRI) UNDER THE GODDARD INSTITUTE FOR SPACE STUDIES (GISS) CONTRACT FOR THE EARTH SCIENCES DIRECTORATE.,"THE PURPOSE OF THIS CONTRACT IS TO ACQUIRE SCIENTIFIC SUPPORT AND RELATED SERVICES FOR THE GISS FACILITY IN NEW YORK CITY, NY.","101 LAKEFOREST BLVD, STE 375",,GAITHERSBURG,MD,20877,06,NEW YORK,NY,10025,13,14272022.47,21134122.31,description,mirror,
CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000,80HQTR24F0064,CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-21,M,P00003,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - MSD RISK MANAGEMENT,COORDINATE AND SUPPORT THE UTILIZATION OF MSDS RISK MANAGEMENT PLAN AND AGENCY PROCEDURAL DOCUMENTS AND PROVIDE ANALYSIS AND RECOMMENDATION SUPPORT TO ASSIST WITH MSD RISK MANAGEMENT.,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,129377.08,129377.08,description,mirror,
CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000,80HQTR24F0073,CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-21,M,P00001,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - ESDMD INTEGRATION AND ADMINISTRATIVE SUPPORT.,PROVIDE PRIMARY INTEGRATION AND ADMINISTRATIVE SUPPORT TO THE ESDMD MOON TO MARS (M2M) PROGRAM PLANNING & CONTROL (PP&C) OFFICE,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,74496.90,74496.90,description,mirror,
