award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,pop_city,pop_state,pop_zip,detected_by,sources,override_status
CONT_AWD_80LARC25F7014_8000_80LARC20D0007_8000,80LARC25F7014,CONT_AWD_80LARC25F7014_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2025-08-29,B,P00001,0.00,"Surface management, cost, and schedule evaluation support for the Radiation Budget Instrument (RBI) termination settlement cost proposal","MANAGEMENT, COST, AND SCHEDULE EVALUATION SUPPORT FOR THE RADIATION BUDGET INSTRUMENT (RBI) TERMINATION SETTLEMENT COST PROPOSAL",9700 PATUXENT WOODS DR,,COLUMBIA,MD,21046,COLUMBIA,MD,21046,description,api,
ASST_NON_80NSSC21M0003_080,80NSSC21M0003,ASST_NON_80NSSC21M0003_080,grant,Universities Space Research Association,2025-08-27,D,P00011,-553617.77,Termination for convenience agreement - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD),PLANETARY EXPLORATION IS AMONG THE MOST EXCITING AND ACCESSIBLE OF THE SCIENCE ACTIVITIES FUNDED BY NASA OR ANY GOVERNMENT AGENCY. THE LUNAR AND PLANETARY INSTITUTE AND PARTNERS PROPOSE PLANETARY RESOURCES AND CONTENT HEROES (REACH) A PROCESS OR,7178 COLUMBIA GATEWAY DR,,COLUMBIA,MD,21046,COLUMBIA,MD,21046,description,api,
ASST_NON_80NSSC22K0223_080,80NSSC22K0223,ASST_NON_80NSSC22K0223_080,grant,American Geophysical Union,2025-08-27,D,P00006,-82614.13,Termination for convenience agreement - agu aas asgsr to NASA: supporting early career researchers post pandemic - support for smd directorate,AGU AAS ASGSR TO NASA: SUPPORTING EARLY CAREER RESEARCHERS POST PANDEMIC,2000 FLORIDA AVE NW STE 400,,WASHINGTON,DC,20009,WASHINGTON,DC,20009,description,api,
CONT_AWD_80GSFC21C0057_8000_-NONE-_-NONE-,80GSFC21C0057,CONT_AWD_80GSFC21C0057_8000_-NONE-_-NONE-,contract,Schlumberger Technology Corporation,2025-08-18,F,P00013,20402.80,"Termination for convenience agreement - pulsed neutron generators for the NASA Dragonfly and Dragonfly Titan lander and the Development and Advancement of Lunar Instrumentation (DALI), Bulk Elemental Composition Analyzer (BECA) instrument.","PULSED NEUTRON GENERATORS FOR THE NASA DRAGONFLY AND DRAGONFLY TITAN LANDER AND THE DEVELOPMENT AND ADVANCEMENT OF LUNAR INSTRUMENTATION (DALI), BULK ELEMENTAL COMPOSITION ANALYZER (BECA) INSTRUMENT.",225 SCHLUMBERGER DR,,SUGAR LAND,TX,77478,SUGAR LAND,TX,77478,both,api,
ASST_NON_80NSSC24K0520_080,80NSSC24K0520,ASST_NON_80NSSC24K0520_080,grant,Natural Areas Conservancy Inc,2025-08-15,D,P00002,-170395.18,Termination for convenience agreement - interdisciplinary research in Earth sciences for support for science mission directorate (SMD/ESD),ASSESSING ACCESS TO NATURE AND THEIR BENEFITS IN EJ COMMUNITIES ACROSS US CITIES,1234 5TH AVE,,NEW YORK,NY,10029,NEW YORK,NY,10029,description,api,
ASST_NON_80NSSC25K7034_080,80NSSC25K7034,ASST_NON_80NSSC25K7034_080,grant,University of Oklahoma,2025-08-15,D,P00002,-242615.17,Termination for convenience agreement - 23-eej23-0046 building co-design and co-learning digital twins against floods on tribal lands in support of indigenous communities,23-EEJ23-0046 BUILDING CO-DESIGN AND CO-LEARNING DIGITAL TWINS AGAINST FLOODS ON TRIBAL LANDS IN SUPPORT OF INDIGENOUS COMMUNITIES.,660 PARRINGTON OVAL RM 301,,NORMAN,OK,73019,NORMAN,OK,73019,description,api,
ASST_NON_80NSSC24K0892_080,80NSSC24K0892,ASST_NON_80NSSC24K0892_080,grant,George Mason University,2025-08-14,D,P00002,-529129.00,Termination for convenience agreement - interdisciplinary research in Earth sciences support for science mission directorate (SMD/ESD),22-IDS22-0059 DISPARITIES IN HEALTH AND SAFETY EFFECTS OF DUST STORMS IN THE UNITED STATES,4400 UNIVERSITY DR,,FAIRFAX,VA,22030,FAIRFAX,VA,22030,description,api,
ASST_NON_80NSSC24K0176_080,80NSSC24K0176,ASST_NON_80NSSC24K0176_080,grant,Virginia Polytechnic Institute & State University,2025-08-12,D,P00004,-373255.31,Termination for convenience agreement - interdisciplinary research in Earth science support for science mission directorate (SMD/ESD),DEMOCRATIZING DATA TO SUPPORT ADAPTATION DECISION MAKING IN THE NORTH-ATLANTIC COASTAL PLAIN: LAND SUBSIDENCE COMPOUND FLOODING HAZARD AND WATER QUALITY,300 TURNER ST NW,STE 4200,BLACKSBURG,VA,24060,BLACKSBURG,VA,24060,description,api,
ASST_NON_80NSSC24K0178_080,80NSSC24K0178,ASST_NON_80NSSC24K0178_080,grant,Brown University,2025-08-12,D,P00003,-400605.72,Termination for convenience agreement - interdisciplinary research in Earth sciences for science mission directorate (SMD/ESD),NASA EARTH OBSERVATIONS FOR RESILIENT SALTON SEA COMMUNITIES,1 PROSPECT ST,,PROVIDENCE,RI,02912,PROVIDENCE,RI,02912,description,api,
ASST_NON_80NSSC24M0193_080,80NSSC24M0193,ASST_NON_80NSSC24M0193_080,grant,President and Fellows of Harvard College,2025-08-12,D,P00004,-177915.07,Termination for convenience agreement - NASA open innovation research -support for stmd directorate,NASA OPEN INNOVATION RESEARCH,1033 MASSACHUSETTS AVE STE 3,,CAMBRIDGE,MA,02138,CAMBRIDGE,MA,02138,description,api,
